season,season_start_year,league,division,league_finish,position,name,nationality,age,minutes_(total),starting_appearances_(league),substitute_appearances_(league),starting_appearances_(total),substitute_appearances_(total),total_appearances,goals_(total),goals_(league),g/minutes_(total),g/appearances_(total),european_competition,tier,performance,round_of_tournament,homegrown_players,transfers_in,transfers_out,net_transfers,games_played_(total),goals_for_(total),goals_against_(total),goal_difference_(total),goals_per_game_(total),games_played_(league),goals_for_(league),goals_against_(league),goal_difference_(league),goals_per_game_(league),average_age,average_appearances,average_minutes
2008-2009,2008,La Liga,1,5,DF,Fabricio Fuentes,Argentina,32,1978,14,2,21,2,23,2,2,989.0,11.5,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,DF,Pascal Cygan,France,34,479,3,1,5,1,6,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Jordi Pablo,Spain,18,66,0,2,0,3,3,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Edmílson,Brazil,32,748,2,4,8,4,12,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Matías Fernández,Chile,22,1195,5,16,11,19,30,3,3,398.3333333333333,10.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Javier Matilla,Spain,20,90,1,0,1,0,1,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Bruno Soriano,Spain,24,1867,12,13,17,17,34,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Rubén Cani,Spain,27,1960,16,6,22,9,31,6,6,326.6666666666667,5.166666666666667,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Ariel Ibagaza,Argentina,32,2125,19,11,24,15,39,2,1,2125.0,19.5,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Robert Pirès,France,35,2480,24,8,29,11,40,4,3,826.6666666666666,10.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Marcos Senna,Spain,32,2735,25,2,33,2,35,4,2,1367.5,8.75,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Santi Cazorla,Spain,24,2965,26,4,32,7,39,8,8,370.625,4.875,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Sebastián Eguren,Uruguay,27,2970,28,4,36,4,40,1,1,2970.0,40.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,MF,Cristóbal Márquez,Spain,24,0,0,0,0,0,0,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,FW,Guille Franco,Mexico,32,935,5,13,9,16,25,2,0,0.0,12.5,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,FW,Joseba Llorente,Spain,29,2753,28,4,32,8,40,19,15,183.53333333333333,2.1052631578947367,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,FW,Nihat Kahveci,Turkey,29,899,8,11,9,14,23,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,FW,Giuseppe Rossi,Italy,21,2934,28,2,37,2,39,15,12,244.5,2.6,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,FW,Jozy Altidore,USA,19,438,2,4,4,4,8,1,1,438.0,8.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2008-2009,2008,La Liga,1,5,FW,Joan Tomàs,Spain,23,25,0,1,0,1,1,0,0,0.0,0.0,Champions League,1,Quarters,3/5,10,7,16,-9.0,50,75,73,2,1.5,38,61,54,7,1.605263157894737,25.97,22.39,1587.81
2009-2010,2009,La Liga,1,7,GK,Diego López,Spain,28,4371,38,0,49,0,49,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,GK,Xavier Oliva,Spain,33,309,0,0,3,1,4,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Ángel Domingo,Spain,28,3075,22,2,34,3,37,1,1,3075.0,37.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Javi Venta,Spain,34,1577,16,2,18,2,20,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Joan Capdevila,Spain,31,4379,37,0,48,2,50,6,5,875.8,8.333333333333334,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Joan Oriol,Spain,23,90,0,0,1,0,1,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Gonzalo Rodríguez,Argentina,25,2347,19,2,28,2,30,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Fabricio Fuentes,Argentina,33,90,0,0,1,0,1,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,José Manuel Catalá,Spain,24,0,0,0,0,0,0,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Kiko Olivas,Spain,21,272,2,0,4,1,5,1,0,0.0,5.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Mateo Musacchio,Argentina,19,448,5,2,5,3,8,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Iván Marcano,Spain,22,2239,15,1,25,2,27,1,1,2239.0,27.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,DF,Diego Godín,Uruguay,23,3819,36,0,40,4,44,3,3,1273.0,14.666666666666666,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Robert Pirès,France,36,1887,13,15,20,17,37,7,4,471.75,5.285714285714286,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Santi Cazorla,Spain,25,1835,16,8,20,10,30,6,5,367.0,5.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Rubén Cani,Spain,28,3057,27,8,37,10,47,3,2,1528.5,15.666666666666666,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Hernán Pérez,Paraguay,20,0,0,0,0,0,0,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Marcos Senna,Spain,33,2866,26,4,33,7,40,4,1,2866.0,10.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Marcos Gullón,Spain,20,61,0,1,1,1,2,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Javier Matilla,Spain,21,207,2,0,2,2,4,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Jefferson Montero,Ecuador,20,20,0,0,0,1,1,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Damián Escudero,Argentina,22,747,3,10,8,12,20,1,1,747.0,20.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Sebastián Eguren,Uruguay,28,1488,9,5,16,5,21,1,0,0.0,21.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Bruno Soriano,Spain,25,3593,31,2,40,3,43,0,0,0.0,0.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,David Fuster,Spain,27,1417,11,11,14,14,28,3,3,472.3333333333333,9.333333333333334,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,MF,Ariel Ibagaza,Argentina,33,1664,14,10,19,11,30,3,2,832.0,10.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,FW,Joseba Llorente,Spain,30,2518,20,9,28,12,40,10,9,279.77777777777777,4.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,FW,Jonathan Pereira,Spain,22,445,0,6,3,9,12,1,0,0.0,12.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,FW,Marco Ruben,Argentina,23,133,1,3,1,4,5,1,0,0.0,5.0,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,FW,Giuseppe Rossi,Italy,22,2962,27,7,34,12,46,17,10,296.2,2.7058823529411766,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2009-2010,2009,La Liga,1,7,FW,Nilmar,Brazil,25,3182,28,5,36,8,44,12,11,289.27272727272725,3.6666666666666665,Europa League,2,Round of 32,2/6,13,5,15,-10.0,52,81,74,7,1.5576923076923077,38,58,57,1,1.5263157894736843,25.94,23.42,1648.32
2010-2011,2010,La Liga,1,4,GK,Diego López,Spain,29,4906,38,0,54,1,55,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,GK,Juan Carlos,Spain,23,494,0,0,6,0,6,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,GK,Diego Mariño,Spain,20,0,0,0,0,0,0,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,GK,Xavier Oliva,Spain,34,0,0,0,0,0,0,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Ángel Domingo,Spain,29,2234,18,0,25,1,26,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Mario Gaspar,Spain,20,3099,20,2,34,4,38,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Cicinho,Brazil,30,176,0,6,1,6,7,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Joan Capdevila,Spain,32,3763,30,1,42,4,46,3,2,88.0,15.333333333333334,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Joan Oriol,Spain,24,522,1,5,5,8,13,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Gonzalo Rodriguez,Argentina,26,3157,20,3,35,4,39,2,1,3157.0,19.5,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Carlos Tómas,Spain,22,90,1,0,1,0,1,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Carlos Marchena,Spain,31,3240,27,1,36,4,40,3,1,3240.0,13.333333333333334,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Kiko Olivas,Spain,22,291,2,2,3,4,7,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,Mateo Musacchio,Argentina,20,4188,27,4,47,5,52,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,DF,José Catalá,Spain,25,2008,10,6,22,8,30,1,1,2008.0,30.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Jefferson Montero,Ecuador,21,698,0,9,5,14,19,2,1,698.0,9.5,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Natxo Insa,Spain,24,11,0,1,0,1,1,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Marcos Gullón,Spain,21,78,1,0,1,1,2,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Cristóbal Márquez,Spain,26,230,1,1,3,2,5,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Javier Matilla,Spain,22,846,3,8,9,10,19,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Mubarak Wakaso,Ghana,20,497,1,10,3,12,15,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Bruno Soriano,Spain,26,4806,36,1,53,3,56,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Marcos Senna,Spain,34,1615,15,5,19,8,27,1,1,1615.0,27.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Rubén Cani,Spain,29,3263,25,9,40,14,54,10,5,652.6,5.4,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Borja Valero,Spain,25,4416,34,1,51,3,54,5,3,1472.0,10.8,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Santi Cazorla,Spain,26,4130,34,3,48,7,55,8,5,826.0,6.875,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,MF,Hernán Pérez,Paraguay,21,17,0,0,0,1,1,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,FW,Jozy Altidore,USA,21,641,0,3,7,7,14,2,0,0.0,7.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,FW,Giuseppe Rossi,Italy,23,4497,35,1,52,4,56,32,18,249.83333333333334,1.75,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,FW,Nilmar,Brazil,26,3135,27,4,35,9,44,18,11,285.0,2.4444444444444446,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,FW,Nicki Bille,Denmark,22,15,0,1,0,1,1,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,FW,Iago Falqué,Spain,20,0,0,0,0,0,0,0,0,0.0,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2010-2011,2010,La Liga,1,4,FW,Marco Ruben,Argentina,24,2267,12,18,23,24,47,11,5,453.4,0.0,Europa League,2,Semis,5/6,19,5,14,-9.0,60,98,72,26,1.6333333333333333,38,54,44,10,1.4210526315789473,24.79,25.15,1797.88
2011-2012,2011,La Liga,1,18,GK,Diego Mariño,Spain,21,0,0,0,0,0,0,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,GK,Diego López,Spain,30,3983,36,0,45,0,36,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,GK,César Sánchez,Spain,40,338,1,1,3,1,2,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Ángel Domingo,Spain,30,1601,15,6,18,7,21,1,1,1601.0,21.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Mario Gaspar,Spain,21,2327,20,3,25,4,23,1,1,2327.0,23.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Joan Oriol,Spain,25,2325,21,0,26,1,21,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Jaume Costa,Spain,23,630,6,0,7,0,6,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Kiko Olivas,Spain,23,0,0,0,0,0,0,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Carlos Tomás,Spain,23,0,0,0,0,0,0,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Florian Lejeune,France,20,14,0,2,0,2,2,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,José Catalá,Spain,26,1490,13,0,17,0,13,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Carlos Marchena,Spain,32,1277,9,8,15,9,17,1,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Pablo Iñiguez,Spain,17,0,0,0,0,0,0,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Mateo Musacchio,Argentina,21,3457,28,1,38,1,29,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Gonzalo Rodríguez,Argentina,27,2296,24,2,27,4,26,1,1,2296.0,26.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,DF,Cristián Zapata,Colombia,25,3199,27,0,36,0,27,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,MF,Jonathan De Guzmán,Netherlands,24,1492,11,8,17,9,19,1,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
2011-2012,2011,La Liga,1,18,MF,Gonzalo Castellani,Argentina,24,349,1,9,2,9,10,0,0,0.0,0.0,Champions League,1,4th in Group,1/5,19,8,11,-3.0,48,45,71,-26,0.9375,38,39,53,-14,1.0263157894736843,25.12,15.53,1394.47
